Date,Carrier,Tracking #,Order #,Delivery City,Star Rating,Delivery Time,Comment
Mon Jan 16 00:00:00 GMT 2023,ups,"	1Z1W1R130318972310","	71992077",CAMP SPRINGS; MD; US; 20748,4,,"Great experience except a shorter delivery process, 4-5 day delivery would be great!"
Sun Jan 15 00:00:00 GMT 2023,ups,"	92419902712015573015282906","	null",MAYFIELD; KY; US; 42066,1,,"I keep getting notified that my delivery is on the way, yet, I still don't have my items and I ordered this nearly a month ago!"
Sun Jan 15 00:00:00 GMT 2023,ups,"	92419902712015573015491551","	72021947",BETHEL PARK; PA; US; 15102,5,,Ordering was very easy.
Sun Jan 15 00:00:00 GMT 2023,ups,"	92419902712015573015381128","	71963154",OCEANSIDE; CA; US; 92056,1,,Shipment never arrived.
Sun Jan 15 00:00:00 GMT 2023,ups,"	92419902712015573015332076","	null",RICHMOND; VA; US; 23227,1,,"We haven't received our package yet, even thought it said it was delivered."
Sat Jan 14 00:00:00 GMT 2023,ups,"	92419902712015573015295913","	71931199",AUMSVILLE; OR; US; 97325,1,,Set to arrive last week. Now trying to deliver to a school on the weekend. Not helpful.
Sat Jan 14 00:00:00 GMT 2023,ups,"	92419902712015573015380657","	71962794",PHILADELPHIA; PA; US; 19136,1,,Delivering a package to a school after 5pm has failure written all over it.
Sat Jan 14 00:00:00 GMT 2023,ups,"	92419902712015573014619802","	null",KINGSTON; MA; US; 02364,1,,This took over a month to get to me. Didn’t get the books in time to give them to my class for Christmas
Sat Jan 14 00:00:00 GMT 2023,ups,"	1Z1W1R130318097801","	null",DOS PALOS; CA; US; 93620,5,,You have great customer service!
Fri Jan 13 00:00:00 GMT 2023,ups,"	92419902712015573015351190","	71948463",COLUMBIAVILLE; MI; US; 48421,5,,So relieved to have good service once again!
Fri Jan 13 00:00:00 GMT 2023,ups,"	92419902712015573015349845","	null",RICHMOND HEIGHTS; MO; US; 63117,1,,I was sent the wrong book
Fri Jan 13 00:00:00 GMT 2023,ups,"	92419902712015573015284788","	null",LONG BEACH; CA; US; 90808,1,,Someone was in the office and should have been able to let the delivery in at 11:36
Thu Jan 12 00:00:00 GMT 2023,ups,"	1Z1W1R130318916685","	71947560",NEW YORK; NY; US; 10021,5,,So many amazing books and not that long of time to receive all of them!
Thu Jan 12 00:00:00 GMT 2023,ups,"	92419902712015573015339730","	71942522",WESLACO; TX; US; 78596,1,,"The package says delivered, but it isn't here.  It says it was left at or near the mailbox, but this is a school.  There is no mailbox, and the front office staff says there have not been any deliveries today."
Thu Jan 12 00:00:00 GMT 2023,ups,"	92419902712015573014675099","	null",HOUSTON; TX; US; 77018,1,,"I ordered my books in early December to arrive for Christmas.  It is now Jan 12 and I still don’t have my books.  It seems this is an issue with shipping, but still.  It shouldn’t take over a month to have my books arrive!"
Wed Jan 11 00:00:00 GMT 2023,ups,"	92419902712015573015427062","	71957083",BRIDGEPORT; CT; US; 06606,5,,Excelente
Wed Jan 11 00:00:00 GMT 2023,ups,"	92419902712015573015290987","	null",CONROE; TX; US; 77385,5,,"Easy ordering, fast delivery!!"
Wed Jan 11 00:00:00 GMT 2023,ups,"	92419902712015573015331383","	71939308",BIG CABIN; OK; US; 74332,5,,Excellent!  They got my signature:-)
Wed Jan 11 00:00:00 GMT 2023,ups,"	92419902712015573015100439","	71891525",WINDHAM; NH; US; 03087,1,,Ordered in early December and shipping was delayed multiple times which caused my students to not receive their Christmas gifts.  VERY disappointing!
Wed Jan 11 00:00:00 GMT 2023,ups,"	92419902712015573015395385","	71970912",HOLLY RIDGE; NC; US; 28445,5,,Being able to browse books by grade level makes ordering a breeze.
Wed Jan 11 00:00:00 GMT 2024,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2025,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2026,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2027,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2028,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2029,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2030,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2031,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2032,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2033,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2034,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2035,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2036,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2037,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2038,null,null,null,null,5,,No Comment
Wed Jan 11 00:00:00 GMT 2039,null,null,null,null,4,,No Comment
Wed Jan 11 00:00:00 GMT 2039,null,null,null,null,4,,No Comment
Wed Jan 11 00:00:00 GMT 2040,null,null,null,null,3,,No Comment
Wed Jan 11 00:00:00 GMT 2041,null,null,null,null,2,,No Comment
Wed Jan 11 00:00:00 GMT 2042,null,null,null,null,1,,No Comment
Wed Jan 11 00:00:00 GMT 2043,null,null,null,null,1,,No Comment
Wed Jan 11 00:00:00 GMT 2044,null,null,null,null,1,,No Comment
Wed Jan 11 00:00:00 GMT 2045,null,null,null,null,1,,No Comment
